Country Name,Country Code,Indicator Name,Indicator Code,year,population
South Africa,ZAF,"Population, total",SP.POP.TOTL,1960,16520441
South Africa,ZAF,"Population, total",SP.POP.TOTL,1961,16989464
South Africa,ZAF,"Population, total",SP.POP.TOTL,1962,17503133
South Africa,ZAF,"Population, total",SP.POP.TOTL,1963,18042215
South Africa,ZAF,"Population, total",SP.POP.TOTL,1964,18603097
South Africa,ZAF,"Population, total",SP.POP.TOTL,1965,19187194
South Africa,ZAF,"Population, total",SP.POP.TOTL,1966,19789771
South Africa,ZAF,"Population, total",SP.POP.TOTL,1967,20410677
South Africa,ZAF,"Population, total",SP.POP.TOTL,1968,21050540
South Africa,ZAF,"Population, total",SP.POP.TOTL,1969,21704214
South Africa,ZAF,"Population, total",SP.POP.TOTL,1970,22368306
South Africa,ZAF,"Population, total",SP.POP.TOTL,1971,23031441
South Africa,ZAF,"Population, total",SP.POP.TOTL,1972,23698507
South Africa,ZAF,"Population, total",SP.POP.TOTL,1973,24382513
South Africa,ZAF,"Population, total",SP.POP.TOTL,1974,25077016
South Africa,ZAF,"Population, total",SP.POP.TOTL,1975,25777964
South Africa,ZAF,"Population, total",SP.POP.TOTL,1976,26480300
South Africa,ZAF,"Population, total",SP.POP.TOTL,1977,27199838
South Africa,ZAF,"Population, total",SP.POP.TOTL,1978,27943445
South Africa,ZAF,"Population, total",SP.POP.TOTL,1979,28697014
South Africa,ZAF,"Population, total",SP.POP.TOTL,1980,29463549
South Africa,ZAF,"Population, total",SP.POP.TOTL,1981,30232561
South Africa,ZAF,"Population, total",SP.POP.TOTL,1982,31022417
South Africa,ZAF,"Population, total",SP.POP.TOTL,1983,31865176
South Africa,ZAF,"Population, total",SP.POP.TOTL,1984,32768207
South Africa,ZAF,"Population, total",SP.POP.TOTL,1985,33752964
South Africa,ZAF,"Population, total",SP.POP.TOTL,1986,34877834
South Africa,ZAF,"Population, total",SP.POP.TOTL,1987,36119333
South Africa,ZAF,"Population, total",SP.POP.TOTL,1988,37393853
South Africa,ZAF,"Population, total",SP.POP.TOTL,1989,38668684
South Africa,ZAF,"Population, total",SP.POP.TOTL,1990,39877570
South Africa,ZAF,"Population, total",SP.POP.TOTL,1991,40910959
South Africa,ZAF,"Population, total",SP.POP.TOTL,1992,41760755
South Africa,ZAF,"Population, total",SP.POP.TOTL,1993,42525440
South Africa,ZAF,"Population, total",SP.POP.TOTL,1994,43267982
South Africa,ZAF,"Population, total",SP.POP.TOTL,1995,43986084
South Africa,ZAF,"Population, total",SP.POP.TOTL,1996,44661603
South Africa,ZAF,"Population, total",SP.POP.TOTL,1997,45285048
South Africa,ZAF,"Population, total",SP.POP.TOTL,1998,45852166
South Africa,ZAF,"Population, total",SP.POP.TOTL,1999,46364681
South Africa,ZAF,"Population, total",SP.POP.TOTL,2000,46813266
South Africa,ZAF,"Population, total",SP.POP.TOTL,2001,47229714
South Africa,ZAF,"Population, total",SP.POP.TOTL,2002,47661514
South Africa,ZAF,"Population, total",SP.POP.TOTL,2003,48104048
South Africa,ZAF,"Population, total",SP.POP.TOTL,2004,48556071
South Africa,ZAF,"Population, total",SP.POP.TOTL,2005,49017147
South Africa,ZAF,"Population, total",SP.POP.TOTL,2006,49491756
South Africa,ZAF,"Population, total",SP.POP.TOTL,2007,49996094
South Africa,ZAF,"Population, total",SP.POP.TOTL,2008,50565812
South Africa,ZAF,"Population, total",SP.POP.TOTL,2009,51170779
South Africa,ZAF,"Population, total",SP.POP.TOTL,2010,51784921
South Africa,ZAF,"Population, total",SP.POP.TOTL,2011,52443325
South Africa,ZAF,"Population, total",SP.POP.TOTL,2012,53145033
South Africa,ZAF,"Population, total",SP.POP.TOTL,2013,53873616
South Africa,ZAF,"Population, total",SP.POP.TOTL,2014,54729551
South Africa,ZAF,"Population, total",SP.POP.TOTL,2015,55876504
South Africa,ZAF,"Population, total",SP.POP.TOTL,2016,56422274
South Africa,ZAF,"Population, total",SP.POP.TOTL,2017,56641209
South Africa,ZAF,"Population, total",SP.POP.TOTL,2018,57339635
South Africa,ZAF,"Population, total",SP.POP.TOTL,2019,58087055
South Africa,ZAF,"Population, total",SP.POP.TOTL,2020,58801927
South Africa,ZAF,"Population, total",SP.POP.TOTL,2021,59392255
South Africa,ZAF,"Population, total",SP.POP.TOTL,2022,59893885
